01/06/2016: T:	 25.877068, H:	 40, M:	 0, P:	 Inside
05/09/2016: T:	 13.9040985, H:	 64, M:	 0, P:	 Outside
05/09/2016: T:	 22.573256, H:	 40, M:	 0, P:	 Inside
06/09/2016: T:	 19.003693, H:	 45, M:	 0, P:	 Outside
06/09/2016: T:	 23.761234, H:	 39, M:	 0, P:	 Inside
07/09/2016: T:	 24.555855, H:	 42, M:	 0, P:	 Inside
07/09/2016: T:	 23.391163, H:	 37, M:	 0, P:	 Outside
08/09/2016: T:	 22.999336, H:	 33, M:	 0, P:	 Inside
08/09/2016: T:	 16.23451, H:	 48, M:	 0, P:	 Outside
09/09/2016: T:	 23.941734, H:	 48, M:	 0, P:	 Inside
09/09/2016: T:	 16.977844, H:	 74, M:	 0, P:	 Outside
10/09/2016: T:	 25.215893, H:	 42, M:	 0, P:	 Inside
10/09/2016: T:	 17.798107, H:	 58, M:	 0, P:	 Outside
11/09/2016: T:	 24.52818, H:	 35, M:	 0, P:	 Inside
11/09/2016: T:	 16.667698, H:	 45, M:	 0, P:	 Outside
12/09/2016: T:	 24.355814, H:	 32, M:	 0, P:	 Inside
12/09/2016: T:	 15.173433, H:	 48, M:	 0, P:	 Outside
13/09/2016: T:	 24.463896, H:	 43, M:	 0, P:	 Inside
13/09/2016: T:	 18.395958, H:	 59, M:	 0, P:	 Outside
14/09/2016: T:	 23.680004, H:	 40, M:	 0, P:	 Inside
14/09/2016: T:	 16.980124, H:	 56, M:	 0, P:	 Outside
15/09/2016: T:	 24.491339, H:	 43, M:	 0, P:	 Inside
15/09/2016: T:	 17.290297, H:	 58, M:	 0, P:	 Outside
16/09/2016: T:	 24.53043, H:	 35, M:	 0, P:	 Inside
16/09/2016: T:	 11.983327, H:	 55, M:	 0, P:	 Outside
17/09/2016: T:	 25.246544, H:	 36, M:	 0, P:	 Inside
17/09/2016: T:	 21.523895, H:	 41, M:	 0, P:	 Outside
20/09/2016: T:	 11.817265, H:	 64, M:	 0, P:	 Outside
20/09/2016: T:	 22.783047, H:	 35, M:	 0, P:	 Inside
21/09/2016: T:	 21.839695, H:	 34, M:	 0, P:	 Inside
21/09/2016: T:	 13.135162, H:	 57, M:	 0, P:	 Outside
22/09/2016: T:	 12.2093115, H:	 60, M:	 0, P:	 Outside
22/09/2016: T:	 22.058018, H:	 35, M:	 0, P:	 Inside
23/09/2016: T:	 22.229168, H:	 36, M:	 0, P:	 Inside
23/09/2016: T:	 13.160096, H:	 61, M:	 0, P:	 Outside
24/09/2016: T:	 13.393683, H:	 66, M:	 0, P:	 Outside
24/09/2016: T:	 20.680313, H:	 41, M:	 0, P:	 Inside
25/09/2016: T:	 13.861782, H:	 69, M:	 0, P:	 Outside
25/09/2016: T:	 23.20603, H:	 42, M:	 0, P:	 Inside
26/09/2016: T:	 22.368198, H:	 43, M:	 0, P:	 Inside
26/09/2016: T:	 14.140621, H:	 69, M:	 0, P:	 Outside
27/09/2016: T:	 15.219515, H:	 69, M:	 0, P:	 Outside
27/09/2016: T:	 22.289112, H:	 43, M:	 0, P:	 Inside
28/09/2016: T:	 13.615879, H:	 71, M:	 0, P:	 Outside
28/09/2016: T:	 22.189754, H:	 41, M:	 0, P:	 Inside
29/09/2016: T:	 14.723228, H:	 53, M:	 0, P:	 Outside
29/09/2016: T:	 21.888834, H:	 46, M:	 0, P:	 Inside
30/09/2016: T:	 11.771899, H:	 57, M:	 0, P:	 Outside
30/09/2016: T:	 23.127316, H:	 41, M:	 0, P:	 Inside
01/10/2016: T:	 10.10145, H:	 56, M:	 0, P:	 Outside
01/10/2016: T:	 22.97026, H:	 36, M:	 0, P:	 Inside
02/10/2016: T:	 10.670368, H:	 61, M:	 0, P:	 Outside
02/10/2016: T:	 22.942833, H:	 34, M:	 0, P:	 Inside
03/10/2016: T:	 7.6446533, H:	 55, M:	 0, P:	 Outside
03/10/2016: T:	 21.802626, H:	 26, M:	 0, P:	 Inside
04/10/2016: T:	 6.8852334, H:	 62, M:	 0, P:	 Outside
04/10/2016: T:	 22.295635, H:	 25, M:	 0, P:	 Inside
05/10/2016: T:	 7.29321, H:	 62, M:	 0, P:	 Outside
05/10/2016: T:	 23.127464, H:	 29, M:	 0, P:	 Inside
06/10/2016: T:	 22.599527, H:	 27, M:	 0, P:	 Inside
06/10/2016: T:	 8.697012, H:	 62, M:	 0, P:	 Outside
07/10/2016: T:	 9.251787, H:	 62, M:	 0, P:	 Outside
07/10/2016: T:	 22.4855, H:	 29, M:	 0, P:	 Inside
08/10/2016: T:	 22.860191, H:	 29, M:	 0, P:	 Inside
08/10/2016: T:	 8.193179, H:	 58, M:	 0, P:	 Outside
09/10/2016: T:	 22.607819, H:	 31, M:	 0, P:	 Inside
09/10/2016: T:	 8.871371, H:	 73, M:	 0, P:	 Outside
10/10/2016: T:	 7.794467, H:	 65, M:	 0, P:	 Outside
10/10/2016: T:	 23.451632, H:	 31, M:	 0, P:	 Inside
11/10/2016: T:	 22.176613, H:	 27, M:	 0, P:	 Inside
11/10/2016: T:	 8.135156, H:	 61, M:	 0, P:	 Outside
12/10/2016: T:	 21.293398, H:	 23, M:	 0, P:	 Inside
12/10/2016: T:	 7.5596027, H:	 61, M:	 0, P:	 Outside
13/10/2016: T:	 6.2123456, H:	 61, M:	 0, P:	 Outside
13/10/2016: T:	 22.159584, H:	 22, M:	 0, P:	 Inside
14/10/2016: T:	 7.0940137, H:	 62, M:	 0, P:	 Outside
14/10/2016: T:	 21.139719, H:	 22, M:	 0, P:	 Inside
18/10/2016: T:	 9.202331, H:	 69, M:	 0, P:	 Outside
18/10/2016: T:	 22.44881, H:	 26, M:	 0, P:	 Inside
19/10/2016: T:	 9.917067, H:	 66, M:	 0, P:	 Outside
19/10/2016: T:	 21.680878, H:	 28, M:	 0, P:	 Inside
20/10/2016: T:	 8.1630945, H:	 60, M:	 0, P:	 Outside
20/10/2016: T:	 22.195393, H:	 22, M:	 0, P:	 Inside
21/10/2016: T:	 6.210351, H:	 58, M:	 0, P:	 Outside
21/10/2016: T:	 22.160587, H:	 23, M:	 0, P:	 Inside
22/10/2016: T:	 6.5254536, H:	 59, M:	 0, P:	 Outside
22/10/2016: T:	 21.817787, H:	 16, M:	 0, P:	 Inside
23/10/2016: T:	 7.532072, H:	 78, M:	 0, P:	 Outside
23/10/2016: T:	 22.263062, H:	 26, M:	 0, P:	 Inside
24/10/2016: T:	 6.9345875, H:	 74, M:	 0, P:	 Outside
24/10/2016: T:	 22.976353, H:	 27, M:	 0, P:	 Inside
25/10/2016: T:	 4.1502304, H:	 81, M:	 0.7545873, P:	 Outside
25/10/2016: T:	 23.557703, H:	 26, M:	 0, P:	 Inside
26/10/2016: T:	 6.1676188, H:	 77, M:	 0, P:	 Outside
26/10/2016: T:	 22.107552, H:	 21, M:	 0, P:	 Inside
27/10/2016: T:	 10.432552, H:	 70, M:	 0, P:	 Outside
27/10/2016: T:	 22.013107, H:	 28, M:	 0, P:	 Inside
28/10/2016: T:	 7.1993194, H:	 50, M:	 0, P:	 Outside
28/10/2016: T:	 22.221443, H:	 25, M:	 0, P:	 Inside
29/10/2016: T:	 7.5722976, H:	 44, M:	 0, P:	 Outside
29/10/2016: T:	 22.693848, H:	 21, M:	 0, P:	 Inside
30/10/2016: T:	 5.069126, H:	 65, M:	 0, P:	 Outside
30/10/2016: T:	 23.350204, H:	 21, M:	 0, P:	 Inside
31/10/2016: T:	 23.129622, H:	 22, M:	 0, P:	 Inside
31/10/2016: T:	 5.5096173, H:	 64, M:	 0, P:	 Outside
01/11/2016: T:	 22.898684, H:	 21, M:	 0, P:	 Inside
01/11/2016: T:	 3.0505047, H:	 82, M:	 0.7395163, P:	 Outside
02/11/2016: T:	 21.730669, H:	 14, M:	 0, P:	 Inside
02/11/2016: T:	 1.0685072, H:	 89, M:	 0.71233815, P:	 Outside
03/11/2016: T:	 22.560827, H:	 14, M:	 0, P:	 Inside
03/11/2016: T:	 0.00858365, H:	 80, M:	 0.0010404425, P:	 Outside
04/11/2016: T:	 23.184557, H:	 14, M:	 0, P:	 Inside
04/11/2016: T:	 0.6363321, H:	 80, M:	 0.07713116, P:	 Outside
05/11/2016: T:	 0.286811, H:	 74, M:	 0, P:	 Outside
05/11/2016: T:	 22.660168, H:	 14, M:	 0, P:	 Inside
06/11/2016: T:	 -1.2263665, H:	 74, M:	 0.297301, P:	 Outside
06/11/2016: T:	 22.7935, H:	 20, M:	 0, P:	 Inside
07/11/2016: T:	 22.15969, H:	 14, M:	 0, P:	 Inside
07/11/2016: T:	 -2.5166783, H:	 88, M:	 0, P:	 Outside
08/11/2016: T:	 22.824589, H:	 14, M:	 0, P:	 Inside
08/11/2016: T:	 -1.7603196, H:	 89, M:	 0, P:	 Outside
09/11/2016: T:	 0.50450456, H:	 93, M:	 0.45864052, P:	 Outside
09/11/2016: T:	 22.570805, H:	 14, M:	 0, P:	 Inside
10/11/2016: T:	 24.01165, H:	 15, M:	 0, P:	 Inside
10/11/2016: T:	 1.3956151, H:	 95, M:	 1.4379065, P:	 Outside
11/11/2016: T:	 23.112286, H:	 14, M:	 0, P:	 Inside
11/11/2016: T:	 -0.14641532, H:	 91, M:	 0, P:	 Outside
12/11/2016: T:	 2.148861, H:	 95, M:	 2.2139778, P:	 Outside
12/11/2016: T:	 22.431074, H:	 14, M:	 0, P:	 Inside
13/11/2016: T:	 5.349371, H:	 94, M:	 5.1872687, P:	 Outside
13/11/2016: T:	 23.126066, H:	 20, M:	 0, P:	 Inside
14/11/2016: T:	 8.088133, H:	 95, M:	 8.333227, P:	 Outside
14/11/2016: T:	 22.589157, H:	 16, M:	 0, P:	 Inside
15/11/2016: T:	 7.4847555, H:	 94, M:	 7.257945, P:	 Outside
15/11/2016: T:	 22.446747, H:	 19, M:	 0, P:	 Inside
16/11/2016: T:	 9.100698, H:	 89, M:	 6.0671325, P:	 Outside
16/11/2016: T:	 23.084396, H:	 22, M:	 0, P:	 Inside
17/11/2016: T:	 22.85286, H:	 19, M:	 0, P:	 Inside
17/11/2016: T:	 7.8363776, H:	 81, M:	 1.4247959, P:	 Outside
18/11/2016: T:	 23.187866, H:	 25, M:	 0, P:	 Inside
18/11/2016: T:	 8.195892, H:	 90, M:	 5.9606485, P:	 Outside
19/11/2016: T:	 22.56496, H:	 20, M:	 0, P:	 Inside
19/11/2016: T:	 7.2204227, H:	 80, M:	 0.8752028, P:	 Outside
20/11/2016: T:	 22.676708, H:	 21, M:	 0, P:	 Inside
20/11/2016: T:	 8.195255, H:	 78, M:	 0, P:	 Outside
21/11/2016: T:	 22.55105, H:	 25, M:	 0, P:	 Inside
21/11/2016: T:	 10.674185, H:	 78, M:	 0, P:	 Outside
22/11/2016: T:	 23.143257, H:	 28, M:	 0, P:	 Inside
22/11/2016: T:	 10.248642, H:	 81, M:	 1.8633894, P:	 Outside
23/11/2016: T:	 23.217926, H:	 27, M:	 0, P:	 Inside
23/11/2016: T:	 9.369186, H:	 78, M:	 0, P:	 Outside
24/11/2016: T:	 22.969822, H:	 21, M:	 0, P:	 Inside
24/11/2016: T:	 1.6225739, H:	 76, M:	 0, P:	 Outside
25/11/2016: T:	 6.8096576, H:	 84, M:	 2.4762392, P:	 Outside
25/11/2016: T:	 22.228302, H:	 21, M:	 0, P:	 Inside
26/11/2016: T:	 5.26709, H:	 55, M:	 0, P:	 Outside
26/11/2016: T:	 23.11509, H:	 21, M:	 0, P:	 Inside
27/11/2016: T:	 23.393082, H:	 18, M:	 0, P:	 Inside
27/11/2016: T:	 0.18558595, H:	 86, M:	 0.089981064, P:	 Outside
28/11/2016: T:	 1.1075635, H:	 88, M:	 0.6712506, P:	 Outside
28/11/2016: T:	 23.341549, H:	 14, M:	 0, P:	 Inside
29/11/2016: T:	 3.3350987, H:	 90, M:	 2.4255261, P:	 Outside
29/11/2016: T:	 22.125805, H:	 14, M:	 0, P:	 Inside
30/11/2016: T:	 1.7667321, H:	 54, M:	 0, P:	 Outside
30/11/2016: T:	 21.779297, H:	 14, M:	 0, P:	 Inside
01/12/2016: T:	 -0.8239452, H:	 62, M:	 0.7989772, P:	 Outside
01/12/2016: T:	 21.163963, H:	 14, M:	 0, P:	 Inside
02/12/2016: T:	 -1.4727261, H:	 67, M:	 0.98181736, P:	 Outside
02/12/2016: T:	 22.68642, H:	 14, M:	 0, P:	 Inside
03/12/2016: T:	 -2.530377, H:	 73, M:	 0.7667809, P:	 Outside
03/12/2016: T:	 21.646572, H:	 14, M:	 0, P:	 Inside
04/12/2016: T:	 21.882105, H:	 14, M:	 0, P:	 Inside
04/12/2016: T:	 3.172432, H:	 79, M:	 0.1922686, P:	 Outside
05/12/2016: T:	 1.9182162, H:	 49, M:	 0, P:	 Outside
05/12/2016: T:	 22.234138, H:	 14, M:	 0, P:	 Inside
06/12/2016: T:	 -1.386493, H:	 71, M:	 0.58820915, P:	 Outside
06/12/2016: T:	 20.587906, H:	 14, M:	 0, P:	 Inside
07/12/2016: T:	 4.077853, H:	 82, M:	 0.9885704, P:	 Outside
07/12/2016: T:	 21.943003, H:	 14, M:	 0, P:	 Inside
08/12/2016: T:	 8.574656, H:	 71, M:	 0, P:	 Outside
08/12/2016: T:	 20.220436, H:	 23, M:	 0, P:	 Inside
09/12/2016: T:	 21.993763, H:	 20, M:	 0, P:	 Inside
09/12/2016: T:	 4.9574447, H:	 67, M:	 0, P:	 Outside
10/12/2016: T:	 22.031717, H:	 16, M:	 0, P:	 Inside
10/12/2016: T:	 0.5316191, H:	 84, M:	 0.19331603, P:	 Outside
11/12/2016: T:	 23.390966, H:	 15, M:	 0, P:	 Inside
11/12/2016: T:	 -1.0951302, H:	 83, M:	 0, P:	 Outside
12/12/2016: T:	 22.334892, H:	 14, M:	 0, P:	 Inside
12/12/2016: T:	 -0.16583773, H:	 82, M:	 0, P:	 Outside
13/12/2016: T:	 22.42105, H:	 14, M:	 0, P:	 Inside
13/12/2016: T:	 2.5776644, H:	 95, M:	 2.6557753, P:	 Outside
14/12/2016: T:	 22.076103, H:	 14, M:	 0, P:	 Inside
14/12/2016: T:	 0.88868403, H:	 93, M:	 0.8078946, P:	 Outside
15/12/2016: T:	 22.474617, H:	 14, M:	 0, P:	 Inside
15/12/2016: T:	 2.1828008, H:	 87, M:	 1.1906186, P:	 Outside
16/12/2016: T:	 22.311245, H:	 14, M:	 0, P:	 Inside
16/12/2016: T:	 3.8539972, H:	 90, M:	 2.8029072, P:	 Outside
17/12/2016: T:	 22.089733, H:	 14, M:	 0, P:	 Inside
17/12/2016: T:	 5.57765, H:	 86, M:	 2.7043152, P:	 Outside
18/12/2016: T:	 22.471245, H:	 14, M:	 0, P:	 Inside
18/12/2016: T:	 3.4177551, H:	 86, M:	 1.6570934, P:	 Outside
19/12/2016: T:	 21.856209, H:	 16, M:	 0, P:	 Inside
19/12/2016: T:	 6.8263254, H:	 88, M:	 4.1371665, P:	 Outside
20/12/2016: T:	 23.633083, H:	 22, M:	 0, P:	 Inside
20/12/2016: T:	 7.4874964, H:	 79, M:	 0.45378765, P:	 Outside
21/12/2016: T:	 22.574848, H:	 14, M:	 0, P:	 Inside
21/12/2016: T:	 5.9497447, H:	 74, M:	 0, P:	 Outside
22/12/2016: T:	 22.08192, H:	 17, M:	 0, P:	 Inside
22/12/2016: T:	 5.7945538, H:	 74, M:	 0, P:	 Outside
23/12/2016: T:	 22.297894, H:	 18, M:	 0, P:	 Inside
23/12/2016: T:	 6.341666, H:	 72, M:	 0, P:	 Outside
